asin,rating,review_title,review_text,review_date,year,sentiment,product_title,main_category,price
B00HNQBIP0,5.0,Genuine O.E.M. Part - Fits PITCO Fryer Filtration Machine,Fit was perfect - Motor came well packaged - I've bought 2 of these exact motors from AMAZON and they work great - Just hope IF something goes wrong that there is some type of warranty IF it's within 1 year -- Most manufacturers give at least 1 year for a motor this expensive.,2019-09-18 23:58:52.273999929,2019,Positive,Pitco PP10101 Pump Motor 1/3Hp 115/230V 50/60H,Tools & Home Improvement,
B09M86QMGD,5.0,Perfect,"These are super easy to install. If you haven't done it before, don't worry, it really is a easy as it looks. These replacement rods are equal or better quality than the ones that come from the factory.  I installed them this afternoon and have run a couple loads. Everything is working fine.",2022-05-15 01:27:16.450999975,2022,Positive,"Upgrade 4 pieces DC97-16350S DC97-16350T DC97-16350K DC97-16350R Washer Suspension Rods (26.4in) Replaces DC97-16350U, DC97-16350E, Compatible with samsung Washer WA50R5200AW, Wa45t3200aw, Wa45m3100aw",Industrial & Scientific,$51.66
B08FC39W7P,5.0,Great,Great replacement part. Very quick shipping.,2023-05-19 09:24:54.970000029,2023,Positive,WE12M29 Dryer Drum Drive Belt Fit for GE Hotpoint Replaces 137292700 AP4324040 WE12M0022 WE12M22 WE12M29 WE12M33 WE12X21574,Industrial & Scientific,$9.15
B00C0YPJZU,5.0,Five Stars,Perfect fit,2015-01-09 10:12:29.000000000,2015,Positive,"WaterSentinel WSL-3 Refrigerator Replacement Filter: Fits LG LT700P Filterss (3-Pack) , Blue",Tools & Home Improvement,$54.99
B07R4RHC4H,5.0,Reasonable price & fast delivery.,"Fit perfectly and so far, is working.",2022-01-21 20:27:00.526000023,2022,Positive,"【Upgraded】Heating Element for Samsung Dryer, Dryer Heating Element DC47-00019A for Samsung dv42h5000ew/a3 dv45h7000ew/a2 Dryer Parts, Including DC96-00887A, DC47-00016A, DC47-00018A and DC32-00007A",Tools & Home Improvement,$35.99
B08TWMBXGK,5.0,Worked!,Work great!,2022-07-16 22:15:42.270999908,2022,Positive,"8544771 Dryer Heating Element Fit for Maytag Whirlpool WP8544771 PS11746337 W10836011 WP8544771VP 1180054 AP6013115 (5400Watt 240 Volt), with 2PCS 3392519 279816 279973 Thermal Fuse & Thermostat Kit",Tools & Home Improvement,$31.24
B073DCKJB1,5.0,Work in the older model Keurig's also!,Fit fine on older units.,2022-10-08 17:16:49.469000101,2022,Positive,GoldTone Brand 6 Carbon Water Filters + Water Filter Holder. Replaces your Keurig 1.0 Filter Holder + Keurig Charcoal Water Filter & Breville Carbon Water Filter + Breville Filter Holder,Amazon Home,$11.99
B07VDSJ4Z6,1.0,"Poor design, seems very dangerous.","To light the oven, you have to open the door all the way, turn the knob on full, and once the gas is lit, you have to wait a few moments to set the temperature you want, or the flame will go out. If you do it wrong, the oven will still release gas without lighting it. This strikes me as being extremely dangerous in a household appliance, particularly when most gas ovens let you just set the temperature, and everything works. I am astonished that they manufacture and sell an oven without safety interlocks to keep the oven from filling the house with gas.<br />I have only had it one day, but have already had to reset the clock several times, because it loses the time, resets itself to 12:00, and starts blinking. It seems to keep time for maybe an hour or so.<br />The instruction manual is very poorly written, and has two sections on how to set the clock. One of them is for how to set minutes, the other is for how to set hours, but you kind of have to figure that out for yourself.<br />The temperature settings are printed around the outside edge of the dial, making it very difficult to see what the temperature is set at unless you are right next to the oven. They should have been printed on the face of the dial so they could be seen from a few feet away.<br />This was the only 30"" gas wall oven I could find, so I took a chance on it. I regret that decision, and wish I had gone with electric, because then I would have had a better selection.<br />Since I had to wait for a custom cabinet to be made, I was past the return time when I discovered these issues. Now I am stuck just eating the cost of this terrible product and installing something else that will not put my family at risk.<br />UPDATE - got it taken out, installed an electric oven in its place. I am much happier without this explosion waiting to happen in my kitchen. But I am still stuck with this terrible product taking up room in my garage, because I cannot in good conscience sell it to someone else and put them at risk.",2021-03-24 11:27:56.625000000,2021,Negative,Summit SGWO30SS 30 Inch Wide 3 Cu. Ft. Single Gas Oven with Convection,Appliances,
B01BGMU3TI,1.0,One Star,mine lasted from 17 Dec 2017 to 2 Jan 2018would you buy another?,2018-01-03 19:28:55.223000050,2018,Negative,"NAPCO 3387747 Dryer Heat Element, White",Tools & Home Improvement,$31.39
B000DLB2FI,5.0,Great Keurig accessory...,"Our youngest daughter and I are the only coffee drinkers (my wife doesn't indulge) in our home, and we like various blends and flavors of coffees, plus regular and decaf.  The Keurig really made sense for us, and this filter made it that much better, being able to use our own coffees, from any source, rather than the more expensive packaged cups.  We actually bought two of them, for convenience sake.",2014-02-07 00:29:17.000000000,2014,Positive,Keurig My K-Cup Reusable Coffee Filter - Old Model,Amazon Home,$19.25
B017AQDKSK,5.0,Perfect for granite counters,"I’m not a fan of screwing the dishwasher in to the neighbors oring counters and I didn’t want to try drilling into the counter. These worked perfectly and allowed me to get it perfectly straight and not have to line up the dishwasher with the cabinets.<br /><br />When installing with these, get the dishwasher level with all 4 feet and with the pads in place and the tape backing still on. Then, lower the front feet enough to slide it forward and so the tape won’t touch while sliding it back. Peel off the backing then sliding it back in. Once everything is lined up again, raise the front feet until it’s back it position. Then you can just press the tape until it’s completely secure. You could even take some type of clamp and really squeeze it tight.",2022-08-15 23:24:37.085999966,2022,Positive,"Frigidaire Smart Choice L304458800 Frigidaire Dishwasher Granite Countertop Installation Bracket Kit, Black",Tools & Home Improvement,$12.81
B0050EH4EG,4.0,Dometic Portable Ice Maker HZB-15S,"I love this ice maker, have had it several years now and the only issue I have with it is the ice tray is weak and breaks. I have replaced it once before and now need another one. These parts are impossible to find and wish we would have bought several for replacement. So, for now, I will try to do a plastic weld to get it going again. Maybe Amazon will start caring parts for it.",2020-10-16 16:33:14.973999977,2020,Positive,Dometic HZB-15S Black Stainless Steel Portable Top Load Ice Maker,Automotive,
B00FKIR1B8,3.0,Okay once you use glue or strong tape,Like many of the other reviews I’ve read this shelf will fall of INSANELY easily. I barely would bump it and it would fall off. Thankfully my husband had some sturdy double sided tape and used that to attached it. Once he did that the shelf worked perfectly.,2021-05-14 03:44:11.065999985,2021,Neutral,"240338001 - OEM FACTORY ORIGINAL FRIGIDAIRE ELECTROLUX REFRIGERATOR DOOR SHELF (24.5"" wide X 2.5"" inches deep)",Tools & Home Improvement,$46.95
B00JUZBGSG,5.0,Five Stars,Great!,2016-03-21 02:16:02.000000000,2016,Positive,Frigidaire FFSS2614QP 26.0 Cu. Ft. Pearl White Side-By-Side Refrigerator,Appliances,
B07R3YF9Q7,5.0,Works AWESOME,works great. trick to installing is having each side locked together. close frig and attach each side. do not have any slack in cable but don't make it to tight.<br />So far has kept my autistic son out of the frig.,2020-05-07 20:07:47.538000107,2020,Positive,"Refrigerator Lock,Fridge Lock with Keys,Freezer Lock and Refrigerator Lock for Child Proof(Fridge Lock-Black 1Pack)",Baby,$13.99
B01M17ZCN0,5.0,A monkey could remove and install this.,Easy to remove and install. Good value,2022-08-09 02:56:43.457000017,2022,Positive,Replacement Washer Pump for Whirlpool W10276397,Tools & Home Improvement,$48.99
B00YD2HVG2,5.0,Five Stars,GLAD TO HAVE THIS REPLACEMENT OTHER THAN SAMSUNG WHICH IS MUCH MORE MONEY!!  THANKS!,2017-10-30 13:15:00.667000055,2017,Positive,"Replacement for RS265TDRS/XAA 02 Refrigerator Water Filter - Compatible with DA29-00020B, DA29-00020A, HAF-CIN Fridge Water Filter Cartridge",Appliances,$12.99
B01MZ8FZ9Y,5.0,Yes,Yes,2019-11-20 12:01:56.372999907,2019,Positive,NewPowerGear Dryer Timer Knob Replacement For HTDX100EM0WW HTDX100EM1WW HTDX100EM2WW HTDX100EM3WW HTDX100EM4WW HTDX100EM5WW HTDX100EM6WW,Tools & Home Improvement,$7.21
B0051W8LEO,5.0,so I am glad this was so easy to install,"A DIY repair is much cheaper than buying a new machine, so I am glad this was so easy to install.",2015-05-14 15:00:19.000000000,2015,Positive,Frigidaire 131763202 Washer Door Lock Assembly,Tools & Home Improvement,
B079VH9T21,5.0,Fits my kitchenaid great,overall this is a cheaper alternative compared to the filter i have been buying and works just as great.,2019-09-10 13:17:41.875000000,2019,Positive,"AQUALINK UKF8001 Replacement for EveryDrop EDR4RXD1, Filter 4, 4396395, Maytag UKF8001AXX-200 Refrigerator water filter, 3PACK, Puriclean II, RFC0900A, RWF0900A, EFF-6007A",Amazon Home,
B0179LQ0VA,1.0,Not compatible,This is advertised as working with the Keurig 2.0. Every time I put it in the machine I get a message saying it is NOT compatible.,2022-11-15 15:28:49.328000069,2022,Negative,"Housewares Solutions 2 Refillable/Reusable Carafe K Cup Filters for Keurig 2.0, K200, K300, K400, K500 Series of Brewing Machines",Amazon Home,$8.95
B0897MYFSR,1.0,No lava,No sirve,2020-08-09 06:00:37.867000103,2020,Negative,"YDCW Portable Mini Tub Washing Machine,Foldable Personal Compact Ultrasonic Turbines Rotating Washer,USB Powered Convenient Laundry for Camping Apartments Dorms RV Business Travel(Blue),B(Upgrade)",Appliances,$55.99
B01BRMEGZ4,5.0,Great deal!,Great price and fixed my shaking whirlpool cabrio washer.,2019-03-16 22:08:53.996000051,2019,Positive,"Whirlpool W10780044 Suspension, White",Tools & Home Improvement,$60.67
B00F23X8DQ,5.0,Easy to install both of them.,"Was not a big task opening the back of the dryer and replacing both of them fit perfectly. I am reviewing the shipping, outside quality and ease of installation. Do not know if they work well as the dryer still does not work (initially worked after I replaced the door switch) and now I will try to fix it by replace the start switch.",2013-12-28 15:37:17.000000000,2013,Positive,"PART # 3387134 AND 3392519 GENUINE REPLACEMENT CLOTHES DRYER THERMOSTAT & BLOWER FUSE KIT FOR WHIRLPOOL, KENMORE, SEARS, ROPER, KITCHENAID, ESTATE, AND ADMIRAL",Appliances,
B005B462YI,5.0,perfect replacement dispenser,"These parts get really beat up over time. This replacement has worked perfectly and was easy to install. It looks a little different than the original part, but with no functional consequences.",2016-05-22 17:24:48.000000000,2016,Positive,Whirlpool W10224431 Dispenser for Dishwasher,Tools & Home Improvement,
B01BIDPHYQ,5.0,Did the job,We can drink the refrigerator water again.,2018-12-10 06:21:07.188999891,2018,Positive,Best GE MWF Refrigerator Water Filter Smartwater Compatible Cartridge,Amazon Home,$16.99
B09MD4BYXG,5.0,Works great,Just what we needed,2023-03-05 18:50:11.609999895,2023,Positive,"Pedestal for Washing Machine Dryer Refrigerator Stand Height 5.5-6.7 inches Heavy-Duty Adjustable Appliance Base Fridge Stand for Vertical Air Conditioner Dishwasher (4 legs,grey)",Tools & Home Improvement,$48.00
B00TLEVVNG,1.0,Junk,"Broke on very first day, avoid.",2020-02-13 01:14:00.760999918,2020,Negative,Exact Replacement Parts Inc ER240323001 Bin (White) Genuine Original Equipment Manufacturer (OEM) Part White,Tools & Home Improvement,
B00UZRV9MG,5.0,I love this washer,I love this washer. It is a great purchase for someone who is in an apartment and not a whole lot of room for full size machines. It actually rotates the clothes both directions like a full size front lead washer. The spinner actually minimizes the dryer time immensely. Love it! Love it! Love it!!!!,2015-09-14 13:23:21.000000000,2015,Positive,Portable Compact Washer and Spin Dry Cycle with Built in Pump (33L Washer & 16L Spin Dryer),None,
B005VTSLNS,5.0,Five Stars,Exactly what I needed and when - delivered three days sooner then expected - awesome,2017-01-11 18:42:50.000000000,2017,Positive,Manitowoc K-00338 Arctic Pure Replacement Ice Maker Filter Cartridge,Tools & Home Improvement,$83.00
B078G6VX41,5.0,Exactly what I needed,Fast shipping & part as described.,2018-11-14 23:26:23.161000013,2018,Positive,Ultra Durable W10195840 Dishwasher Rack Adjuster Positioner Replacement Part by BlueStars - Exact Fit for Whirlpool Kenmore Kitchenaid Dishwashers - Replaces WPW10195840 PS11750093 - PACK OF 2,Appliances,$8.99
B08FF9TBQZ,5.0,Great fix for freezee,Works even on two prongs,2021-04-26 20:10:16.979000092,2021,Positive,"Refrigerator Door Light Switch 2 Feet For GE Whirlpool, Maytag, Admiral, Amana, Crosley, Jenn-Air",Appliances,
B07JMNYK7X,5.0,As described,Sturdy and well made. Frequently used,2021-01-31 18:20:06.453999996,2021,Positive,"De'Longhi Stainless Steel Milk Frothing Pitcher, 12 ounce (350 ml), Barista Tool, Frother Jug for Espresso Machine Coffee Cappuccino Latte Art, DLSC0, 12 oz",Amazon Home,$22.49
B00IB4BMDQ,2.0,I used a drill with this device. After about ...,"I used a drill with this device. After about two bends in the duct, one of the extensions broke in the middle. I returned it. Perhaps it should only be used at a low drill speed? I didn't see any instructions about what speed to use.",2018-01-24 07:01:13.895999908,2018,Negative,"Deflecto DVBRUSH12K/6 Dryer Duct Cleaning Kit, Lint Remover, Extends Up to 12 Feet, Synthetic Brush Head, Use with or Without a Power Drill, accessory, Computer",None,$26.40
B07KCVKR6L,5.0,Easy and works,Easy.  I'm not a handy guy.  Took me 10 minutes with the help of a YouTube video.  Ice maker is fixed.,2019-12-08 16:19:25.808000088,2019,Positive,4389102 Refrigerator Ice Maker Sensor Control Boards Kit Compatible with Whirlpool Kenmore KitchenAid Maytag Jenn Air Replaces W10757851 W10290817 AP5956767 W10193666 ADC9102 2198586 PS557945 AP313751,Industrial & Scientific,
B005ARCWGI,5.0,It's Great to Get Ice From the Dispenser Again!,"I ordered this hoping that it would fit my Whirlpool refrigerator and it did! It's so nice to be able to get ice from the dispenser, again. Like some of the other reviews that I have seen, it actually fits and works better than the original.",2021-03-25 04:29:32.733999968,2021,Positive,Whirlpool W10312300 Ice Container for Refrigerator,Tools & Home Improvement,$173.07
B000DLB2FI,1.0,So it was a waste of my money thinking it would be able to ...,When I order this I thought it would be able to fit in my coffee disperser. So it was a waste of my money thinking it would be able to fit in it.,2015-04-23 05:05:36.000000000,2015,Negative,Keurig My K-Cup Reusable Coffee Filter - Old Model,Amazon Home,$19.25
B091JTR84F,5.0,Put all your eggs in one tray.,This was a great solution to get rid of all those egg cartons.  Easy to grab how ever many eggs you need at one time and protects them as well.  I found that it does not hold 24 eggs as advertised but these were large eggs.  Makes the fridge look nice and neat.,2021-10-22 09:19:53.292999983,2021,Positive,Egg Holder Countertop for Refrigerator (18-21 Eggs) Stackable Plastic Egg Container Drawer Type Storage Rack Box for Kitchen (White) …,Tools & Home Improvement,$17.99
B00GK4P77G,5.0,Doing the job.,Seems like it is the correct length. I was replacing a replacement that was not as long as the original. 5 stars to keep a 30 year old dryer working well.,2018-09-18 00:51:35.608000040,2018,Positive,"Whirlpool WPW10717210 Lint Filter, White",Tools & Home Improvement,$37.02
B004H3XVCU,5.0,Great,It is a GE brand and brand new,2021-08-15 21:57:56.267999887,2021,Positive,GE WH43X10034 Agitator Assembly for Washer,Appliances,$49.01
B07JMNYK7X,5.0,Perfect size.,Nice fitting handle to hold and easy to clean.,2022-12-30 19:53:58.431999922,2022,Positive,"De'Longhi Stainless Steel Milk Frothing Pitcher, 12 ounce (350 ml), Barista Tool, Frother Jug for Espresso Machine Coffee Cappuccino Latte Art, DLSC0, 12 oz",Amazon Home,$22.49
B01M5IUM5Q,3.0,Three Stars,No measuring lines,2017-06-14 08:58:26.022000074,2017,Neutral,Melitta Cone Coffee Filters No. 4 Unbleached Natural Brown 40 Count Pack of 2 (80 Filters Total),Amazon Home,$7.06
B00M106JIY,1.0,Came broken,"I was shipped a defective one from Amazon, would not read the model identifier resistor.",2020-12-27 15:17:39.151999950,2020,Negative,GE WD21X10505 Genuine OEM User Interface Assembly for GE Dishwashers,Tools & Home Improvement,$142.23
B00W1W2DFA,5.0,Definitely buy these filters instead of Maytag,Work great and lots cheaper than name brands!,2018-11-20 19:03:18.576999903,2018,Positive,"ICEPURE UKF8001 Compatible with Whirlpool EDR4RXD1, 4396395, Maytag UKF8001, UKF8001AXX, EveryDrop Refrigerator Water Filter 4, RFC0900A, UKF8001AXX-200, UKF8001P, 469006, PUR, Puriclean II, Pack of 3",Tools & Home Improvement,$27.99
B07YD6FBL8,5.0,It was easy to install,Value for the money,2022-07-14 18:05:49.286000013,2022,Positive,"DIY Tips Included - WR17X11653 Ice Dispenser Door Assembly by PartsBroz - Compatible Hotpoint, Kenmore, GE Fridge Ice Door Flapper - Replaces AP3672582 EA964304 PS964304 - Lifetime Repair",Industrial & Scientific,$6.95
B001GGOWA6,5.0,Nice product and very useful for my family,This was a very nice product. I always making a steak at the house my son and my husband they’re very like that. But it was make me working hard because it made a lot grease around the kitchen and after I cook it I need to do so much clean that make me feel so sad. This gas cooktop was big help for me i set up this at my back yard then I cook my steak on the outdoor. Now I don’t need to worry about to all the grease I need to clean because it didn’t make it. Very enjoying this product nice to family has to use,2018-03-15 01:26:12.157000065,2018,Positive,"Ramblewood 2 burner gas cooktop(Natural Gas), GC2-48N, ETL Safety Certified.",Appliances,$238.00
B009SANIDO,5.0,Five Stars,Popped right in!,2014-08-30 02:14:57.000000000,2014,Positive,"Lg LT120F - 6 Month Replacement Refrigerator Air Filter, White",Tools & Home Improvement,$10.00
B01BIDPHYQ,5.0,Five Stars,I love this item I highly recommend it,2018-04-10 04:10:49.091000080,2018,Positive,Best GE MWF Refrigerator Water Filter Smartwater Compatible Cartridge,Amazon Home,$16.99
B0033SNI50,2.0,Frigidaire range fgef3055kf - look else where,"Frigidaire range fgef3055kf: I thought this range was the perfect choice, 4 baking racks, easy clean glass top with 4 burners, 2 of them with size small and large, plus a 5th burner for warming, the bottom draw seemed to be made better than most brands ... Well now that we've used it I'm sorry we ever bought it. It's near impossible to keep this black gloss glass clean and streak free, I'm it's the same case with any black glass cook top. If you like things neat and clean this is not a good choice. The convection oven does cut some time off of baking which is nice plus it has the auto convert button but ... the convection as well as using the normal bake feature cooks food differently depending on which rack you have it on. One rack will be perfectly fine while other, although it may look the same they are burned on the bottom. I even checked the book to make sure I was using the proper rack but it did not matter. We are NOT Happy.",2010-08-23 23:20:03.000000000,2010,Negative,Frigidaire FGEF3055KF FGEF3055KF Freestanding Electric Range,Appliances,
B082H63QQ1,5.0,Samsung dishwasher part,Took a while to receive.  Fit and works correctly.,2021-09-20 16:42:44.329999924,2021,Positive,ForeverPRO DD61-00241A Holder-Nozzle(L) Dmr78 P for Samsung Appliance 2077480,Tools & Home Improvement,$14.78
B077BLBH2V,5.0,Excellent transaction,"High quality, inexpensive, with fast delivery and it installed without problems and worked perfectly.",2019-08-11 02:05:56.410000086,2019,Positive,PRYSM Dryer Element Replaces 3387747,Tools & Home Improvement,$24.99
B000AST3AK,5.0,Five Stars,Arrived promptly and was easy to install,2016-05-22 18:06:46.000000000,2016,Positive,"GE MWF Refrigerator Water Filter | Certified to Reduce Lead, Sulfur, and 50+ Other Impurities | Replace Every 6 Months for Best Results | Pack of 1",Tools & Home Improvement,$46.98
B071KCPTB7,5.0,Fits and does it’s job,Works,2018-08-13 23:40:26.053999901,2018,Positive,"240356402 Door Bin (Clear) Compatible with Frigidaire and Electrolux Refrigerator AP2549958 PS430122 (Fits Models: BGH, CRS, DGH, FFH, FFS And More)",Tools & Home Improvement,$19.95
B011GWQTNM,1.0,"Boo, not good.","Doesn't seem to be shaped correctly, I can't get them to go into crack and stay there.",2016-12-22 13:46:33.000000000,2016,Negative,Silicone Stove Counter Gap Covers - Black (2 Pack),Amazon Home,
B00IRGXM90,5.0,on time,correct product,2020-10-09 16:15:17.000000000,2020,Positive,BOSCH 00754866 Door Spring Kit,None,$19.98
